Skill / Job Role(Historical trends & salary statistics),Rank6 Months to3 Sep 2020,RankChangeYear-on-Year,Median Salary6 Months to3 Sep 2020,Median Salary% ChangeYear-on-Year,HistoricalPermanentJob Ads,LiveJobVacancies
Developer,1,+1,"£55,000",+10.00%,"16,329 (29.88%)","3,889"
Agile Software Development,2,-1,"£57,500",+4.54%,"15,820 (28.95%)","2,674"
Finance,3,0,"£65,000",+8.33%,"11,103 (20.32%)","1,533"
JavaScript,4,+2,"£52,500",+5.00%,"10,520 (19.25%)","2,433"
Azure,5,+4,"£57,500",+4.54%,"10,475 (19.17%)","1,908"
SQL,6,-2,"£52,500",+5.00%,"9,946 (18.20%)","1,620"
AWS,7,+6,"£65,000",-,"8,672 (15.87%)","1,577"
Microsoft,8,-3,"£50,000",+11.11%,"8,656 (15.84%)","2,003"
C#,9,-2,"£52,500",+5.00%,"8,288 (15.17%)","1,682"
Python,10,+4,"£65,000",+5.69%,"7,994 (14.63%)","1,414"
Java,11,-3,"£65,000",+7.43%,"7,895 (14.45%)","1,305"
.NET,12,-2,"£55,000",+10.00%,"7,814 (14.30%)","1,583"
DevOps,13,+5,"£62,500",-,"7,718 (14.12%)","1,439"
Windows,14,-3,"£45,000",+12.50%,"6,442 (11.79%)","1,158"
SQL Server,15,+1,"£50,000",+5.26%,"6,089 (11.14%)","1,110"
HTML,16,+1,"£50,000",+5.26%,"5,900 (10.80%)","1,419"
Software Engineering,17,+2,"£57,500",+4.54%,"5,875 (10.75%)","1,359"
Degree,18,-3,"£53,500",+7.00%,"5,509 (10.08%)","1,357"
CSS,19,+3,"£50,000",+5.26%,"5,467 (10.00%)","1,319"
Analyst,20,-8,"£45,000",+12.50%,"5,373 (9.83%)",560
Linux,21,0,"£55,000",-,"5,334 (9.76%)","1,135"
Docker,22,+11,"£65,000",-,"4,699 (8.60%)",922
Problem-Solving,23,-3,"£50,000",+5.26%,"4,579 (8.38%)","1,038"
React,24,+22,"£60,000",+4.34%,"4,414 (8.08%)",992
Microservices,25,+18,"£65,000",-3.70%,"4,409 (8.07%)",933
Scrum,26,-3,"£57,500",+4.54%,"4,389 (8.03%)",687
AngularJS,27,+2,"£55,000",-,"4,386 (8.03%)",930
Git (software),28,-1,"£55,000",+10.00%,"4,217 (7.72%)",916
TDD,29,+2,"£60,000",+9.09%,"4,081 (7.47%)",898
Kubernetes,30,+34,"£67,500",-3.57%,"3,757 (6.88%)",745
